GameID,Quarter,Quarter_Time,Team,Play
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,8:16.0,Boston Celtics,Defensive rebound by A. Horford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,8:07.0,Boston Celtics,J. Brown makes 2-pt dunk from 2 ft (assist by J. Tatum)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,7:48.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 9 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,7:24.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,7:14.0,Boston Celtics,Defensive rebound by A. Horford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,6:59.0,Boston Celtics,J. Brown makes 3-pt jump shot from 23 ft (assist by A. Horford)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,6:38.0,Boston Celtics,Defensive rebound by J. Holiday
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,6:19.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,6:11.0,Boston Celtics,Defensive rebound by X. Tillman
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,6:09.0,Boston Celtics,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Holiday)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,5:52.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 3 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,5:29.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,5:15.0,Dallas Mavericks,Offensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,5:11.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 1 ft (assist by D. Lively)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,4:47.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,4:30.0,Boston Celtics,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,4:09.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,3:50.0,Boston Celtics,Defensive rebound by X. Tillman
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,3:31.0,Boston Celtics,Offensive rebound by S. Hauser
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,3:24.0,Boston Celtics,J. Brown makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,3:24.0,Boston Celtics,J. Brown makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,2:56.0,Boston Celtics,Defensive rebound by X. Tillman
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,2:48.0,Boston Celtics,J. Brown makes 2-pt jump shot from 19 ft (assist by J. Holiday)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,2:29.0,Boston Celtics,Defensive rebound by D. White
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,2:14.0,Boston Celtics,X. Tillman makes 3-pt jump shot from 23 ft (assist by J. Brown)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:49.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 22 ft (assist by D. Gafford)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:44.0,Boston Celtics,D. White makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:44.0,Boston Celtics,D. White makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:20.0,Boston Celtics,Defensive rebound by D. White
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:11.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,1:04.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 25 ft (assist by J. Green)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,0:41.0,Boston Celtics,D. White makes 3-pt jump shot from 30 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,0:22.0,Boston Celtics,Defensive rebound by A. Horford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,0:07.0,Boston Celtics,J. Brown makes 2-pt dunk from 2 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,0:00.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,11:29.0,Boston Celtics,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,11:17.0,Boston Celtics,Defensive rebound by Team
