GameID,gameDate,HomeTeam,AwayTeam
June122024DalvsBos,8:30PM-June12-2024,Dallas Mavericks,Boston Celtics
GameID,Score,Quarter,QuarterTime,Team,Play
June122024DalvsBos,43-46,2,3:08.0,Dallas Mavericks,L. Dončić makes 2-pt jump shot from 7 ft
June122024DalvsBos,43-46,2,2:44.0,Boston Celtics,Offensive rebound by J. Holiday
June122024DalvsBos,43-46,2,2:40.0,Boston Celtics,Offensive rebound by J. Holiday
June122024DalvsBos,45-46,2,2:39.0,Boston Celtics,J. Holiday makes 2-pt layup from 4 ft
June122024DalvsBos,45-48,2,2:13.0,Dallas Mavericks,L. Dončić makes 2-pt jump shot from 12 ft
June122024DalvsBos,45-48,2,1:51.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,45-48,2,1:40.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,48-48,2,1:32.0,Boston Celtics,A. Horford makes 3-pt jump shot from 23 ft
June122024DalvsBos,48-50,2,1:14.0,Dallas Mavericks,D. Lively makes 2-pt dunk from 1 ft
June122024DalvsBos,48-50,2,0:49.0,Dallas Mavericks,Defensive rebound by Team
June122024DalvsBos,50-50,2,0:33.0,Boston Celtics,J. Tatum makes 2-pt layup from 3 ft
June122024DalvsBos,50-50,2,0:12.0,Dallas Mavericks,Offensive rebound by P. Washington
June122024DalvsBos,50-50,2,0:09.0,Dallas Mavericks,Offensive rebound by Team
June122024DalvsBos,50-51,2,0:09.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
June122024DalvsBos,50-51,2,0:01.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,52-51,3,11:42.0,Boston Celtics,J. Brown makes 2-pt jump shot from 12 ft
June122024DalvsBos,52-53,3,11:25.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 3 ft
June122024DalvsBos,54-53,3,11:06.0,Boston Celtics,J. Holiday makes 2-pt layup from 3 ft
June122024DalvsBos,54-53,3,10:48.0,Dallas Mavericks,Offensive rebound by D. Gafford
June122024DalvsBos,54-55,3,10:48.0,Dallas Mavericks,D. Gafford makes 2-pt dunk at rim
June122024DalvsBos,56-55,3,10:30.0,Boston Celtics,J. Tatum makes 2-pt layup from 3 ft
June122024DalvsBos,56-56,3,10:06.0,Dallas Mavericks,L. Dončić makes free throw 1 of 2
June122024DalvsBos,56-57,3,10:06.0,Dallas Mavericks,L. Dončić makes free throw 2 of 2
June122024DalvsBos,58-57,3,9:52.0,Boston Celtics,J. Brown makes 2-pt jump shot from 9 ft
June122024DalvsBos,58-59,3,9:33.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 12 ft
June122024DalvsBos,61-59,3,9:20.0,Boston Celtics,J. Holiday makes 3-pt jump shot from 27 ft
June122024DalvsBos,64-59,3,8:45.0,Boston Celtics,J. Tatum makes 3-pt jump shot from 27 ft
June122024DalvsBos,64-59,3,8:16.0,Boston Celtics,Defensive rebound by A. Horford
June122024DalvsBos,66-59,3,8:07.0,Boston Celtics,J. Brown makes 2-pt dunk from 2 ft
June122024DalvsBos,66-61,3,7:48.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 9 ft
June122024DalvsBos,66-61,3,7:24.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,66-61,3,7:14.0,Boston Celtics,Defensive rebound by A. Horford
June122024DalvsBos,69-61,3,6:59.0,Boston Celtics,J. Brown makes 3-pt jump shot from 23 ft
June122024DalvsBos,69-61,3,6:38.0,Boston Celtics,Defensive rebound by J. Holiday
June122024DalvsBos,69-61,3,6:19.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,69-61,3,6:11.0,Boston Celtics,Defensive rebound by X. Tillman
June122024DalvsBos,71-61,3,6:09.0,Boston Celtics,J. Tatum makes 2-pt dunk from 1 ft
June122024DalvsBos,71-63,3,5:52.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 3 ft
June122024DalvsBos,71-63,3,5:29.0,Dallas Mavericks,Defensive rebound by L. Dončić
June122024DalvsBos,71-63,3,5:15.0,Dallas Mavericks,Offensive rebound by D. Lively
June122024DalvsBos,71-65,3,5:11.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 1 ft
June122024DalvsBos,71-65,3,4:47.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,71-65,3,4:30.0,Boston Celtics,Defensive rebound by Team
June122024DalvsBos,71-65,3,4:09.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,71-65,3,3:50.0,Boston Celtics,Defensive rebound by X. Tillman
June122024DalvsBos,71-65,3,3:31.0,Boston Celtics,Offensive rebound by S. Hauser
June122024DalvsBos,72-65,3,3:24.0,Boston Celtics,J. Brown makes free throw 1 of 2
June122024DalvsBos,73-65,3,3:24.0,Boston Celtics,J. Brown makes free throw 2 of 2
June122024DalvsBos,73-65,3,2:56.0,Boston Celtics,Defensive rebound by X. Tillman
June122024DalvsBos,75-65,3,2:48.0,Boston Celtics,J. Brown makes 2-pt jump shot from 19 ft
June122024DalvsBos,75-65,3,2:29.0,Boston Celtics,Defensive rebound by D. White
June122024DalvsBos,78-65,3,2:14.0,Boston Celtics,X. Tillman makes 3-pt jump shot from 23 ft
June122024DalvsBos,78-67,3,1:49.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 22 ft
June122024DalvsBos,79-67,3,1:44.0,Boston Celtics,D. White makes free throw 1 of 2
June122024DalvsBos,80-67,3,1:44.0,Boston Celtics,D. White makes free throw 2 of 2
June122024DalvsBos,80-67,3,1:20.0,Boston Celtics,Defensive rebound by D. White
June122024DalvsBos,80-67,3,1:11.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,80-70,3,1:04.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 25 ft
June122024DalvsBos,83-70,3,0:41.0,Boston Celtics,D. White makes 3-pt jump shot from 30 ft
June122024DalvsBos,83-70,3,0:22.0,Boston Celtics,Defensive rebound by A. Horford
