GameID,gameDate,HomeTeam,AwayTeam
June192016GolvsCle,8:00PM-June19-2016,Golden State Warriors,Cleveland Cavaliers
GameID,Score,Quarter,QuarterTime,Team,Play
June192016GolvsCle,60-59,3,5:55.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,60-59,3,5:32.0,Cleveland Cavaliers,Offensive rebound by K. Irving
June192016GolvsCle,60-59,3,5:32.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,60-59,3,5:21.0,Golden State Warriors,Defensive rebound by Team
June192016GolvsCle,60-59,3,5:04.0,Golden State Warriors,Offensive rebound by Team
June192016GolvsCle,60-59,3,4:59.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,61-59,3,4:51.0,Cleveland Cavaliers,K. Irving makes free throw 1 of 2
June192016GolvsCle,62-59,3,4:51.0,Cleveland Cavaliers,K. Irving makes free throw 2 of 2
June192016GolvsCle,64-59,3,4:33.0,Cleveland Cavaliers,K. Irving makes 2-pt jump shot from 5 ft
June192016GolvsCle,65-59,3,4:33.0,Cleveland Cavaliers,K. Irving makes free throw 1 of 1
June192016GolvsCle,65-61,3,4:22.0,Golden State Warriors,H. Barnes makes 2-pt dunk at rim
June192016GolvsCle,68-61,3,4:00.0,Cleveland Cavaliers,K. Irving makes 3-pt jump shot from 26 ft
June192016GolvsCle,68-62,3,3:37.0,Golden State Warriors,H. Barnes makes free throw 1 of 2
June192016GolvsCle,68-63,3,3:37.0,Golden State Warriors,H. Barnes makes free throw 2 of 2
June192016GolvsCle,69-63,3,3:18.0,Cleveland Cavaliers,T. Thompson makes free throw 1 of 2
June192016GolvsCle,70-63,3,3:18.0,Cleveland Cavaliers,T. Thompson makes free throw 2 of 2
June192016GolvsCle,70-64,3,3:03.0,Golden State Warriors,D. Green makes free throw 1 of 3
June192016GolvsCle,70-65,3,3:03.0,Golden State Warriors,D. Green makes free throw 2 of 3
June192016GolvsCle,70-66,3,3:03.0,Golden State Warriors,D. Green makes free throw 3 of 3
June192016GolvsCle,70-66,3,2:42.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,71-66,3,2:42.0,Cleveland Cavaliers,T. Thompson makes free throw 1 of 2
June192016GolvsCle,71-66,3,2:42.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,71-69,3,2:30.0,Golden State Warriors,D. Green makes 3-pt jump shot from 27 ft
June192016GolvsCle,71-69,3,2:01.0,Golden State Warriors,Defensive rebound by S. Curry
June192016GolvsCle,71-71,3,1:56.0,Golden State Warriors,S. Livingston makes 2-pt dunk at rim
June192016GolvsCle,73-71,3,1:36.0,Cleveland Cavaliers,L. James makes 2-pt jump shot from 12 ft
June192016GolvsCle,73-74,3,1:19.0,Golden State Warriors,H. Barnes makes 3-pt jump shot from 23 ft
June192016GolvsCle,75-74,3,0:54.0,Cleveland Cavaliers,T. Thompson makes 2-pt hook shot from 5 ft
June192016GolvsCle,75-74,3,0:43.0,Golden State Warriors,Offensive rebound by A. Iguodala
June192016GolvsCle,75-74,3,0:28.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,75-74,3,0:16.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,75-76,3,0:04.0,Golden State Warriors,A. Iguodala makes 2-pt hook shot from 2 ft
June192016GolvsCle,75-76,3,0:00.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,77-76,4,11:34.0,Cleveland Cavaliers,L. James makes 2-pt jump shot from 5 ft
June192016GolvsCle,77-76,4,11:13.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,77-76,4,10:49.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,79-76,4,10:35.0,Cleveland Cavaliers,K. Love makes 2-pt hook shot from 7 ft
June192016GolvsCle,79-76,4,10:15.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,79-77,4,9:56.0,Golden State Warriors,S. Livingston makes free throw 1 of 2
June192016GolvsCle,79-78,4,9:56.0,Golden State Warriors,S. Livingston makes free throw 2 of 2
June192016GolvsCle,79-78,4,9:25.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,79-78,4,9:05.0,Cleveland Cavaliers,Offensive rebound by K. Irving
June192016GolvsCle,81-78,4,9:05.0,Cleveland Cavaliers,K. Irving makes 2-pt layup from 7 ft
June192016GolvsCle,81-80,4,8:43.0,Golden State Warriors,D. Green makes 2-pt layup from 2 ft
June192016GolvsCle,81-80,4,8:16.0,Golden State Warriors,Defensive rebound by H. Barnes
June192016GolvsCle,81-80,4,7:57.0,Cleveland Cavaliers,Defensive rebound by K. Irving
